Solver Time,Path Length
6.236072500000006,14.46364803827168
6.354770500000001,13.69321079867717
6.284792600000003,14.425937090661892
6.248436300000009,14.141814190211196
6.36238640000002,13.29712124857958
6.220834699999983,13.623693177265316
6.2436036,14.633213165084284
6.260489999999976,13.985711603154964
6.233157900000037,13.679317882526554
6.231839400000013,13.952871128773532
6.222907300000031,13.614195782479149
6.286029000000042,13.925949306884023
6.224593900000002,13.67410145416507
6.21902879999999,13.287894375500963
6.229236500000013,13.293038379719349
6.22547579999997,13.238669936752617
6.28266960000002,14.699082141596914
6.233873800000026,15.3413514217697
6.23047170000001,13.36293796022652
6.221288200000004,13.448854309375664
6.2138385000000085,14.757985777859856
6.20883299999997,13.204324983335798
6.221282599999995,14.059112120468525
6.2365724,14.02378876242439
6.205477999999971,15.023893263744888
6.248306099999979,13.177784481516762
6.231695000000002,13.731749040092383
6.208715799999993,13.821732234361912
6.252381500000013,13.474767309736864
6.239589299999977,13.83148122275461
6.240142900000024,13.669434794551682
6.238620400000002,13.968671503056903
6.21388920000004,16.519912874417418
6.232741200000021,13.320877893110984
6.236970700000029,13.847660029348344
6.240315199999998,15.455312480044524
6.2295522000000005,14.010066791253488
6.252223900000047,13.992564591836326
6.294794899999999,13.511957221331311
6.294616700000006,13.460337712103543
6.212562800000001,13.217387035544451
6.250754400000005,13.453939631428849
6.224650900000029,13.835311818155764
6.229886000000022,13.9601679757074
6.22328060000001,13.09040844434316
6.224508500000013,14.0337231365757
6.236410499999977,15.282667961155193
6.219261899999992,14.63292171439834
6.218211600000018,13.847788637998796
6.212302099999988,13.943105271958196
6.284806499999945,13.41215207357789
6.222369500000013,13.40993846552994
6.223260699999969,14.622509994991088
6.231340199999977,13.972548614804978
6.240990399999987,13.936915308627183
6.233708399999955,14.148797240285337
6.269562400000041,14.55968563535557
6.221842899999956,13.326164077630333
6.21641610000006,13.500555345440896
6.223354600000107,14.809202708008652
6.246102000000064,13.652352985512657
6.222227299999986,13.461097659982403
6.219723700000031,13.397069647037677
6.266464299999939,14.2048366684922
6.244196600000009,13.31830914798448
6.217607000000044,14.38967571669872
6.256235300000071,14.583969214139922
6.2246722000001,14.246911173615478
6.237837499999955,13.596892910252878
6.244703800000025,14.227168193557466
6.295452899999987,15.001437811666282
6.234901499999978,14.237424875765544
6.234997200000066,13.4202032138482
6.2575169000000415,13.39806895064326
6.2659973999999465,14.047264209010748
6.252256700000089,13.294755915142284
6.219361499999991,13.675907582481688
6.228198200000065,14.544376799480135
6.256922400000008,13.774202218649204
6.264982099999997,13.290338153055629
6.221025899999972,13.71800131814914
6.210133100000007,14.498291349239022
6.237493699999959,13.756817258196516
6.361667500000067,13.559544198173096
6.235014500000034,13.408049338300197
6.230680000000007,13.73830956047904
6.269594099999949,15.26162547190869
6.253089699999919,13.65282789116872
6.216965899999991,13.905172860980931
6.230259000000046,14.067674818210032
6.200831799999946,14.41056383692979
6.262978999999973,14.059883012900103
6.227177099999949,13.391420746467723
6.242670900000007,13.43637955911274
6.220987799999989,14.328241605984172
6.237432500000068,13.609364126583836
6.236224300000004,14.145892201984662
6.269960200000014,14.279114704892754
6.216837900000087,14.024785128987856
6.214124900000002,13.853894998906473
